lat,lon,utm_x,utm_y,prof
-42.410876,-64.177517,403110.0683610000,5303931.5067699999,7.3
-42.336594,-64.559947,371490.4657550000,5311672.672019000,4.2
-42.183609,-64.202504,400697.55177899997,5329137.742640000,19.6
-42.209911,-64.35079,388498.17540399998,5326034.026347000,97.0
-42.242147,-64.253093,396615.3879780000,5322577.8140310002,3.1
-42.108985,-64.175036,402851.842084000,5337455.156428000,36.0
-42.145826,-64.166888,403581.3918430000,5333373.797823000,32.0
-42.173769,-64.23446,398042.78542600002,5330192.634365000,19.6
-42.170064,-64.240582,397531.1648670000,5330596.684879000,25.5
-42.403951,-64.184785,402501.30099999998,5304692.135422000,11.5
-42.219777,-64.401856,384300.8309600000,5324870.498395000,66.0
-42.117905,-64.081348,410610.29647399997,5336567.027378000,36.0
-42.388619,-64.558081,371750.0707190000,5305898.64697500,32.0
-42.320137,-64.393223,385195.6507980000,5313738.47771800,56.0
-42.376874,-64.13386,406651.970420000,5307755.914306000,39.0
-42.20914,-64.28442,393975.53325899999,5326204.296087000,8.7
-42.216073,-64.614389,366751.65994600003,5324971.444332000,44.0
-42.370888,-64.079835,411091.3284170000,5308478.507408000,40.0
-42.100708,-64.625491,365591.3167010000,5337763.749565000,143.0
-42.315132,-64.534245,373564.88351700001,5314094.305430000,22.5
-42.321324,-64.456947,379946.8178960000,5313518.722437000,63.0
-42.036588,-64.517129,374425.4425260000,5345048.057014000,176.0
-42.258768,-64.181505,402547.32825100003,5320816.656609000,5.2
-42.15612,-64.178734,402618.3390490000,5332217.365573000,30.5
-42.391058,-64.251528,396987.69780199998,5306045.001744000,29.5
-42.2279,-64.408253,383787.758877000,5323959.846735000,27.5
-42.390815,-64.540798,373177.1358740000,5305680.745476000,29.5
-42.407695,-64.182878,402664.0233700000,5304278.59261500,9.8
-42.346381,-64.341765,389481.93366099999,5310892.542242000,45.0
-42.360951,-64.317905,391472.3344630000,5309305.443924000,34.0
-42.407484,-64.234683,398400.7235350000,5304241.359499000,8.6
-42.283239,-64.362339,387675.0224990000,5317876.758551000,51.0
-42.318429,-64.25715,396405.71558199998,5314102.768450000,54.0
-42.351339,-64.411564,383741.7836910000,5310248.94114800,66.0
-42.356727,-64.302564,392728.4796920000,5309793.93991700,50.0
-42.074498,-64.178865,402482.44890999998,5341279.992537000,52.0
-42.276048,-64.417589,383106.27365799999,5318600.8624310000,51.0
-42.384966,-64.088363,410409.1805490000,5306906.358851000,31.0
-42.416334,-64.457269,380101.14892200002,5302968.416613000,15.5
-42.395865,-64.259915,396305.2748070000,5305501.035392000,26.5
-42.01933,-64.642846,363982.61497900001,5346772.088702000,149.0
-42.33044,-64.537088,373361.3008060000,5312390.29303800,26.5
-42.25634,-64.389084,385421.13788499997,5320827.919959000,21.5
-42.294515,-64.268555,395426.30425799999,5316744.168632000,48.0
-42.26603,-64.365235,387405.6086840000,5319783.773826000,28.5
-42.304178,-64.521686,374578.127720000,5315329.208206000,18.5
-42.266223,-64.233421,398277.1256270000,5319928.18367900,14.5
-42.283271,-64.375049,386627.11986300000,5317856.35942000,50.0
-42.331079,-64.069858,411857.18793499999,5312909.18584000,3.6
-42.405997,-64.322009,391212.1806860000,5304298.331619000,3.8
-42.403763,-64.330569,390503.88306999998,5304535.3955440000,8.2
-42.260407,-64.353267,388382.73828799999,5320423.88683400,7.7
-42.270233,-64.138484,406112.8394200000,5319591.946332000,25.5
-42.42292,-64.397954,384993.50322100002,5302319.145092000,5.0
-42.335982,-64.433488,381907.316923000,5311923.955682000,73.0
-42.194589,-64.286156,393807.86294199998,5327817.814365000,13.6
-42.342833,-64.139909,406103.2886200000,5311529.09460900,40.0
-42.257223,-64.440397,381190.1476430000,5320659.580694000,14.6
-42.374628,-64.217945,399725.782381000,5307909.533807000,22.5
-42.076951,-64.087306,410059.91457500000,5341108.012959000,52.0
-42.376832,-64.383888,386067.3369800000,5307455.693773000,47.0
-42.121481,-64.177285,402685.0210010000,5336065.12206600,51.0
-42.412884,-64.506758,376022.4905090000,5303280.448570000,14.5
-42.131953,-64.087755,410100.5199250000,5335000.506697000,31.0
-42.359164,-64.194061,401668.0767570000,5309654.529450000,44.0
-42.296701,-64.533359,373601.0252260000,5316142.17410700,3.1
-42.130712,-64.011828,416374.08062199998,5335215.438151000,30.5
-42.098926,-64.07396,411194.54443800001,5338682.026820000,39.0
-42.341407,-64.084167,410692.9096870000,5311747.468198000,35.0
