X,Y,Name,Attribute,CATCOA,CATROD,CATSLO,ELEVAT,NATCON,OBJNAM,SORDAT,SORIND,STATUS,VALDCO
-64.1852156944792,-42.4266515174243,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.1820275413049,-42.4290968388781,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.14494695,-42.4337489,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.4886975939668,-42.4232620060786,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.5143454541878,-42.4306440141005,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.36642865,-42.23985455,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.1966291442332,-42.4248036595903,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.56811045,-42.33485155,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.5153135179608,-42.4208724787915,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.5749261496372,-42.4267446790883,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.5249923994554,-42.4417009563395,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.1784475638753,-42.4278236298058,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.4589973016211,-42.4389715327663,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.1980132761913,-42.4263407715585,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.3653084,-42.4268579,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.3644627556259,-42.428524647071,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.22151093812,-42.4216940763071,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.3556277762084,-42.4373971005515,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.20799775,-42.4291998,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.0545024999632,-42.3364710499942,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.4610107091843,-42.4386613296383,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.2129249472991,-42.2431680560643,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.451679,-42.4382086,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.4184349998583,-42.4369492999506,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.5079304,-42.2745698,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.3474524203243,-42.244560784901,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.1765674358681,-42.4229500732195,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.2460497714424,-42.4184961120995,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.05644765,-42.3288248,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.0485550269608,-42.380742085849,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
-64.2972926985706,-42.2225629147064,Slope topline,Value,,,6,,,,19950401,"AR,AR,graph,H277",,
