RCID,Latitud,Longitud,Profundidad
356,-42.1519620,-64.1320000,30.5
357,-42.1243470,-64.0819630,35.0
358,-42.290047,-64.1069550,41.0
359,-42.2517620,-64.1596940,3.0
360,-42.1412300,-64.5679350,146.0
361,-42.4098980,-64.5264520,13.5
362,-42.0557040,-64.6231890,145.0
363,-42.3624720,-64.1152710,53.0
364,-42.1467540,-64.2506400,89.0
368,-42.2108670,-64.4748360,87.0
369,-42.3889070,-64.4603460,42.0
371,-42.1271580,-64.3319230,171.0
373,-42.4117340,-64.6014180,0.6
374,-42.1215250,-64.2364670,83.0
375,-42.4136150,-64.5244200,11.5
378,-42.4050350,-64.504519,18.5
379,-42.164825,-64.5641830,134.0
380,-42.4212550,-64.5572480,4.6
384,-42.3349600,-64.0827840,33.0
385,-42.3812650,-64.5380850,32.0
386,-42.0957600,-64.1123280,22.5
387,-42.3061790,-64.4345960,41.0
388,-42.2566360,-64.2707380,11.5
390,-42.3915540,-64.3981410,31.0
392,-42.4055410,-64.5923220,3.8
393,-42.3202570,-64.2914760,65.0
394,-42.3440470,-64.5586390,5.3
395,-42.3688570,-64.2000990,29.5
396,-42.0742750,-64.1900940,53.0
398,-42.3206500,-64.5211890,37.0
399,-42.0024310,-64.6131130,171.0
400,-42.1623720,-64.2226470,26.5
402,-42.3988930,-64.3195020,7.4
405,-42.25559,-64.3550820,5.8
406,-42.3609460,-64.1828250,43.0
408,-42.3516490,-64.0617970,16.5
409,-42.1394240,-64.0548470,29.5
410,-42.127814,-64.2425920,96.0
411,-41.8322370,-64.3982480,169.0
412,-42.2358930,-64.4553780,0.5
413,-42.1215740,-64.1461580,54.0
414,-42.3079120,-64.5329480,17.5
417,-42.3693720,-64.0608820,11.5
419,-42.1143650,-64.1387170,50.0
420,-42.2328430,-64.4042270,9.3
424,-42.3215470,-64.0719190,22.5
425,-42.2807350,-64.4350550,50.0
426,-42.3681190,-64.1581600,56.0
427,-42.3652290,-64.1220150,50.0
430,-42.3327880,-64.4646140,52.0
